City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,mount isa,-20.7333,139.5,21.87,11,0,4.63,AU,1728582313
231,chibougamau,49.9168,-74.3659,7.79,71,100,5.66,CA,1728582439
232,jalal-abad,40.9333,73.0,18.21,41,93,1.83,KG,1728582601
233,thai binh,20.45,106.3333,24.45,69,39,0.74,VN,1728582602
234,sisimiut,66.9395,-53.6735,3.83,69,8,1.94,GL,1728582604
235,tabou,4.423,-7.3528,25.41,87,89,3.13,CI,1728582605
236,les cayes,18.2,-73.75,30.41,71,87,4.55,HT,1728582606
237,sofifi,0.7349,127.576,26.62,84,45,1.04,ID,1728582608
238,nova vicosa,-17.8919,-39.3719,27.78,66,90,5.33,BR,1728582609
239,lodwar,3.1191,35.5973,31.96,29,13,3.12,KE,1728582610
240,island harbour,50.724,-1.2758,11.1,62,94,2.87,GB,1728582611
241,lianzhou,24.7811,112.3825,19.16,69,31,1.03,CN,1728582612
242,praia,14.9215,-23.5087,29.3,65,75,6.69,CV,1728582613
243,uturoa,-16.7333,-151.4333,25.33,77,100,4.26,PF,1728582614
244,lihue,21.9789,-159.3672,25.77,73,75,6.17,US,1728582615
245,adamus,46.3,24.2333,13.86,52,37,1.62,RO,1728582616
246,buncrana,55.1333,-7.45,7.87,73,48,2.73,IE,1728582618
247,hammerfest,70.6634,23.6821,3.25,75,20,0.51,NO,1728582620
248,sampit,-2.5333,112.95,24.45,98,97,0.68,ID,1728582621
249,ola,59.5833,151.2833,-2.53,69,34,2.24,RU,1728582622
250,uaua,-9.8414,-39.4817,36.84,19,48,2.34,BR,1728582624
251,conduaga,8.862,117.4893,25.8,89,21,1.47,PH,1728582625
252,caister-on-sea,52.6481,1.7265,9.39,67,83,6.12,GB,1728582627
253,demre,36.2537,29.9777,20.71,75,24,1.28,TR,1728582628
254,maturin,9.75,-63.1767,31.91,100,93,3.09,VE,1728582447
255,begowal,31.6167,75.5167,23.36,45,0,1.7,IN,1728582630
256,sretensk,52.2453,117.7093,-0.7,83,63,2.03,RU,1728582631
257,poprad,49.0614,20.298,14.67,82,20,0.89,SK,1728582632
258,cooper's town,26.8667,-77.5167,28.51,76,100,16.63,BS,1728582634
259,aasiaat,68.7098,-52.8699,-1.57,62,8,6.55,GL,1728582635
260,utrik,11.2278,169.8474,28.28,77,75,4.34,MH,1728582637
261,pitimbu,-7.4706,-34.8086,26.84,65,82,5.01,BR,1728582354
262,mukalla,14.5425,49.1242,25.84,80,0,1.51,YE,1728582639
263,playas,-2.6333,-80.3833,24.05,73,98,5.5,EC,1728582640
264,quellon,-43.1167,-73.6167,9.63,80,100,2.29,CL,1728582641
265,bardai,11.65,7.2333,27.39,51,20,2.42,NG,1728582642
266,port isabel,26.0734,-97.2086,31.02,65,0,2.57,US,1728582643
267,severo-yeniseyskiy,60.3725,93.0408,-8.27,95,100,2.18,RU,1728582426
268,challapata,-18.9,-66.7667,16.67,11,0,10.01,BO,1728582645
269,kawambwa,-9.7915,29.0791,22.27,52,83,3.29,ZM,1728582647
270,laguna,38.421,-121.4238,24.15,56,0,3.6,US,1728582648
271,rosarito,32.3333,-117.0333,21.51,62,2,4.09,MX,1728582190
272,borogontsy,62.6683,131.1683,2.28,98,100,2.75,RU,1728582650
273,castro alves,-12.7656,-39.4283,31.9,39,36,5.88,BR,1728582651
274,makueni boma,-1.8041,37.6203,21.87,52,41,4.49,KE,1728582652
275,ekangala,-25.6962,28.7492,21.2,24,26,3.62,ZA,1728582653
276,jose panganiban,14.2906,122.6917,24.82,94,98,0.69,PH,1728582654
277,qui nhon,13.7667,109.2333,24.45,89,67,3.14,VN,1728582448
278,vrangel',42.7297,133.0839,12.44,84,37,3.05,RU,1728582656
279,vilyuchinsk,52.9306,158.4028,-1.85,69,0,2.83,RU,1728582657
280,selfoss,63.9331,-20.9971,2.25,57,71,4.99,IS,1728582658
281,kanniyakumari,8.0833,77.5667,26.86,80,99,8.69,IN,1728582659
282,mendi,-6.1761,143.6513,10.73,94,44,1.95,PG,1728582660
283,chardara,41.2547,67.9692,21.03,43,86,2.39,KZ,1728582662
284,peace river,56.2501,-117.286,7.17,65,0,6.69,CA,1728582663
285,amungan,15.3652,119.9582,26.7,77,55,1.8,PH,1728582665
286,afaahiti,-17.75,-149.2833,22.3,91,100,7.4,PF,1728582666
287,undurkhaan,47.3194,110.6556,1.94,58,30,1.11,MN,1728582668
288,vilyuysk,63.7553,121.6247,-2.54,91,96,1.19,RU,1728582670
289,newman,37.3138,-121.0208,24.47,28,91,1.0,US,1728582671
290,tazacorte,28.629,-17.9293,24.54,94,20,3.09,ES,1728582672
291,kikvidze,50.7416,43.0518,14.01,66,100,2.12,RU,1728582673
292,crane,31.3974,-102.3501,30.99,21,0,3.03,US,1728582674
293,sorong,-0.8833,131.25,26.85,84,100,4.54,ID,1728582675
294,nikolayevsk-on-amure,53.1406,140.73,3.91,94,96,2.06,RU,1728582677
295,pangai,-19.8,-174.35,25.06,83,75,4.63,TO,1728582678
296,nanao,37.05,136.9667,15.14,92,34,2.5,JP,1728582679
297,coahuayana de hidalgo,18.7,-103.6583,30.84,64,31,2.34,MX,1728582680
298,al wajh,26.2455,36.4525,28.97,74,0,4.12,SA,1728582682
299,arawa,-6.2132,155.5367,24.87,91,100,0.84,PG,1728582684
300,puerto santa,-8.9906,-78.6456,19.49,80,97,4.95,PE,1728582686
301,carnarvon,-24.8667,113.6333,22.76,67,0,3.46,AU,1728582687
302,cockburn town,21.4612,-71.1419,29.97,73,95,4.34,TC,1728582619
303,uacu cungo,-11.3634,15.1208,22.79,59,89,1.05,AO,1728582689
304,la ronge,55.1001,-105.2842,12.12,54,75,3.09,CA,1728582690
305,nova sintra,14.8667,-24.7167,26.47,79,7,10.96,CV,1728582692
306,ponta delgada,37.7333,-25.6667,22.4,83,75,14.92,PT,1728582693
307,berbera,10.4396,45.0143,29.96,69,0,1.76,SO,1728582694
308,ntchisi,-13.5278,33.9149,16.92,58,78,2.42,MW,1728582695
309,kaohsiung,22.6163,120.3133,25.58,83,75,0.51,TW,1728582697
310,agat village,13.3886,144.6585,27.2,92,100,4.52,GU,1728582698
311,aden,12.7794,45.0367,29.0,73,0,4.55,YE,1728582701
312,huinca renanco,-34.8404,-64.3758,25.08,37,95,3.9,AR,1728582702
313,edd,13.9297,41.6925,30.98,66,0,0.31,ER,1728582703
314,malango,-2.9627,119.9001,18.76,99,99,1.22,ID,1728582704
315,sakaiminato,35.55,133.2333,12.99,100,20,2.06,JP,1728582706
316,winkler,49.1817,-97.941,23.1,16,99,3.96,CA,1728582707
317,whitehorse,60.7161,-135.0538,2.43,87,75,4.63,CA,1728582708
318,vila velha,-20.3297,-40.2925,23.97,87,100,5.14,BR,1728582414
319,nsanje,-16.92,35.262,24.24,55,27,2.36,MW,1728582711
320,mastung,29.7994,66.845,17.4,19,0,1.57,PK,1728582712
321,grand falls-windsor,48.9332,-55.6649,14.72,63,0,1.69,CA,1728582713
322,grants,35.1473,-107.8514,23.13,18,0,0.0,US,1728582714
323,ancud,-41.8697,-73.8203,9.11,94,100,2.74,CL,1728582715
324,san agustin de valle fertil,-30.6335,-67.4682,22.9,40,11,4.53,AR,1728582717
325,orkney,-26.9802,26.6727,24.08,20,58,2.49,ZA,1728582718
326,arkalyk,50.2486,66.9114,14.14,51,88,3.82,KZ,1728582578
327,sa kaeo,13.75,102.3333,24.32,91,100,0.79,TH,1728582721
328,salinopolis,-0.6136,-47.3561,29.21,69,29,5.29,BR,1728582722
329,stanley,54.868,-1.6985,5.01,77,20,2.06,GB,1728582723
330,golden beach,38.4898,-76.6822,17.78,52,35,2.24,US,1728582724
331,acarau,-2.8856,-40.12,29.42,62,78,9.13,BR,1728582725
332,margate,51.3813,1.3862,10.49,67,94,0.89,GB,1728582727
333,nacala,-14.5428,40.6728,22.66,79,1,1.96,MZ,1728582728
334,ochakiv,46.6128,31.5498,19.16,84,75,4.58,UA,1728582729
335,ambodifotatra,-16.9833,49.85,23.94,74,52,7.04,MG,1728582730
336,yarkovo,57.4028,67.0786,-0.87,69,100,5.66,RU,1728582731
337,ciudad bolivar,8.1222,-63.5497,37.03,29,100,3.67,VE,1728582607
338,remire-montjoly,4.9167,-52.2667,32.02,58,20,5.66,GF,1728582733
339,carlinville,39.2798,-89.8818,25.69,25,0,1.38,US,1728582734
340,bay harbor,30.1471,-85.6146,27.75,41,0,5.14,US,1728582736
341,poronaysk,49.2167,143.1167,9.59,67,100,6.44,RU,1728582737
342,mantua,45.1667,10.7833,19.43,89,3,0.89,IT,1728582738
343,kailua-kona,19.6406,-155.9956,24.75,81,0,3.6,US,1728582739
344,ambon,-3.6954,128.1814,28.32,92,0,1.54,ID,1728582740
345,pokhara,28.2333,83.9833,18.29,86,99,2.23,NP,1728582742
346,mahenge,-8.6833,36.7167,21.35,55,90,0.76,TZ,1728582743
347,bima,-8.4667,118.7167,24.67,89,93,1.55,ID,1728582744
348,gao,16.6362,1.637,37.52,13,9,1.6,ML,1728582745
349,kattivakkam,13.2167,80.3167,28.31,94,81,3.33,IN,1728582746
350,kisangani,0.5167,25.2,23.8,78,94,0.67,CD,1728582747
351,freetown,8.484,-13.2299,25.01,90,99,2.31,SL,1728582493
352,pingliang,35.5392,106.6861,11.91,59,64,1.91,CN,1728582749
353,tucupita,9.0622,-62.051,33.35,50,100,4.0,VE,1728582750
354,kostomuksha,64.571,30.5767,3.06,97,100,5.07,RU,1728582752
355,berezovyy,51.6667,135.7,2.99,68,100,0.29,RU,1728582753
356,saint-germain-du-puy,47.1,2.4833,12.96,82,20,3.09,FR,1728582754
357,puerto lempira,15.2667,-83.7667,30.08,70,40,4.12,HN,1728582755
358,usinsk,65.9939,57.5281,-7.32,93,9,3.23,RU,1728582757
359,la passe,45.5549,-0.8967,14.76,83,4,3.94,FR,1728582470
360,fallon,39.4735,-118.7774,22.84,29,75,0.0,US,1728582759
361,amloh,30.6084,76.2319,23.42,43,0,2.5,IN,1728582760
362,nadi,-17.8,177.4167,24.0,94,40,0.0,FJ,1728582761
363,as sulayyil,20.4607,45.5779,29.19,16,2,2.51,SA,1728582762
